"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/2000","-91.875","37.9357986450195","280","15.658","3.25999999999999","0","5.63596548216224","0.738774449259282","10.30623444",
"1/2/2000","-91.875","37.9357986450195","280","17.114","4.77600000000001","0.0377655048","6.7789698419646","0.687435877871815","2.65269762",
"1/3/2000","-91.875","37.9357986450195","280","6.64699999999999","1.74700000000001","39.2039860104","4.85420154298826","0.875361848330429","1.27124964",
"1/4/2000","-91.875","37.9357986450195","280","1.11500000000001","-6.04000000000002","0.624847608","6.63963956172784","0.678055262024106","10.0740987",
"1/5/2000","-91.875","37.9357986450195","280","4.23599999999999","-6.649","0","4.99777580952475","0.499072353669114","10.89011106",
"1/6/2000","-91.875","37.9357986450195","280","9.149","-1.35500000000002","0","4.0327059025612","0.645573800082634","10.754437032",
"1/7/2000","-91.875","37.9357986450195","280","9.06","-2.49000000000001","0","2.52127074009543","0.588679694005511","11.16882522",
"1/8/2000","-91.875","37.9357986450195","280","6.63400000000001","1.39400000000001","6.042482064","5.14418663944176","0.820106586960941","2.1583701",
"1/9/2000","-91.875","37.9357986450195","280","11.574","5.69499999999999","0.652313376","4.70280507011137","0.831434502730538","10.18327356",
"1/10/2000","-91.875","37.9357986450195","280","13.993","3.96800000000002","0.33645618","7.52205465355762","0.59591086056522","11.16775872",
"1/11/2000","-91.875","37.9357986450195","280","7.32499999999999","0.598000000000013","0","3.96199429510732","0.383606174346655","11.197179",
"1/12/2000","-91.875","37.9357986450195","280","17.736","1.517","0.0034332264","5.75029483819008","0.603355700123122","11.01981996",
"1/13/2000","-91.875","37.9357986450195","280","5.06","-4.60500000000002","0","4.65855957773412","0.525080651457757","11.60938116",
"1/14/2000","-91.875","37.9357986450195","280","7.38999999999999","-5.37","0","4.65107001119913","0.468734944755616","11.61005778",
"1/15/2000","-91.875","37.9357986450195","280","17.132","0.764999999999986","0.0446319504","7.36404808656918","0.544385797412681","10.982646",
"1/16/2000","-91.875","37.9357986450195","280","12.599","3.50299999999999","0.9098053992","4.69249127147552","0.714180234135543","10.45743624",
"1/17/2000","-91.875","37.9357986450195","280","7.02300000000002","2.71100000000001","2.8461456","4.78548345365999","0.815336616300041","1.611056232",
"1/18/2000","-91.875","37.9357986450195","280","6.71600000000001","-0.266999999999996","0.2025604368","2.62898113313299","0.828250540387142","9.9021339",
"1/19/2000","-91.875","37.9357986450195","280","7.45100000000002","-1.53800000000001","0.3725050536","6.04527851675979","0.676149394283095","2.38016646",
"1/20/2000","-91.875","37.9357986450195","280","-2.20999999999998","-8.368","0.00686646","5.46326240107141","0.383440896163962","12.55943754",
